dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,sys,sys_config,variable,1,varchar,128,"PRIMARY KEY",NULL,NULL,NULL
mysql,sys,sys_config,value,2,varchar,128,NULL,NULL,NULL,NULL
mysql,sys,sys_config,set_time,3,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sys,sys_config,set_by,4,varchar,128,NULL,NULL,NULL,NULL
mysql,sakila,actor,actor_id,1,smallint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,actor,first_name,2,varchar,45,NULL,NULL,NULL,NULL
mysql,sakila,actor,last_name,3,varchar,45,NULL,NULL,NULL,NULL
mysql,sakila,actor,last_update,4,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sakila,address,address_id,1,smallint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,address,address,2,varchar,50,NULL,NULL,NULL,NULL
mysql,sakila,address,address2,3,varchar,50,NULL,NULL,NULL,NULL
mysql,sakila,address,district,4,varchar,20,NULL,NULL,NULL,NULL
mysql,sakila,address,city_id,5,smallint,NULL,"FOREIGN KEY",sakila,city,city_id
mysql,sakila,address,postal_code,6,varchar,10,NULL,NULL,NULL,NULL
mysql,sakila,address,phone,7,varchar,20,NULL,NULL,NULL,NULL
mysql,sakila,address,location,8,geometry,NULL,NULL,NULL,NULL,NULL
mysql,sakila,address,last_update,9,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sakila,category,category_id,1,tinyint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,category,name,2,varchar,25,NULL,NULL,NULL,NULL
mysql,sakila,category,last_update,3,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sakila,city,city_id,1,smallint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,city,city,2,varchar,50,NULL,NULL,NULL,NULL
mysql,sakila,city,country_id,3,smallint,NULL,"FOREIGN KEY",sakila,country,country_id
mysql,sakila,city,last_update,4,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sakila,country,country_id,1,smallint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,country,country,2,varchar,50,NULL,NULL,NULL,NULL
mysql,sakila,country,last_update,3,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sakila,customer,customer_id,1,smallint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,customer,store_id,2,tinyint,NULL,"FOREIGN KEY",sakila,store,store_id
mysql,sakila,customer,first_name,3,varchar,45,NULL,NULL,NULL,NULL
mysql,sakila,customer,last_name,4,varchar,45,NULL,NULL,NULL,NULL
mysql,sakila,customer,email,5,varchar,50,NULL,NULL,NULL,NULL
mysql,sakila,customer,address_id,6,smallint,NULL,"FOREIGN KEY",sakila,address,address_id
mysql,sakila,customer,active,7,tinyint,NULL,NULL,NULL,NULL,NULL
mysql,sakila,customer,create_date,8,datetime,NULL,NULL,NULL,NULL,NULL
mysql,sakila,customer,last_update,9,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sakila,film,film_id,1,smallint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,film,title,2,varchar,128,NULL,NULL,NULL,NULL
mysql,sakila,film,description,3,text,65535,NULL,NULL,NULL,NULL
mysql,sakila,film,release_year,4,year,NULL,NULL,NULL,NULL,NULL
mysql,sakila,film,language_id,5,tinyint,NULL,"FOREIGN KEY",sakila,language,language_id
mysql,sakila,film,original_language_id,6,tinyint,NULL,"FOREIGN KEY",sakila,language,language_id
mysql,sakila,film,rental_duration,7,tinyint,NULL,NULL,NULL,NULL,NULL
mysql,sakila,film,rental_rate,8,decimal,NULL,NULL,NULL,NULL,NULL
mysql,sakila,film,length,9,smallint,NULL,NULL,NULL,NULL,NULL
mysql,sakila,film,replacement_cost,10,decimal,NULL,NULL,NULL,NULL,NULL
mysql,sakila,film,rating,11,enum,5,NULL,NULL,NULL,NULL
mysql,sakila,film,special_features,12,set,54,NULL,NULL,NULL,NULL
mysql,sakila,film,last_update,13,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sakila,film_actor,actor_id,1,smallint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,film_actor,actor_id,1,smallint,NULL,"FOREIGN KEY",sakila,actor,actor_id
mysql,sakila,film_actor,film_id,2,smallint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,film_actor,film_id,2,smallint,NULL,"FOREIGN KEY",sakila,film,film_id
mysql,sakila,film_actor,last_update,3,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sakila,film_category,film_id,1,smallint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,film_category,film_id,1,smallint,NULL,"FOREIGN KEY",sakila,film,film_id
mysql,sakila,film_category,category_id,2,tinyint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,film_category,category_id,2,tinyint,NULL,"FOREIGN KEY",sakila,category,category_id
mysql,sakila,film_category,last_update,3,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sakila,film_text,film_id,1,smallint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,film_text,title,2,varchar,255,NULL,NULL,NULL,NULL
mysql,sakila,film_text,description,3,text,65535,NULL,NULL,NULL,NULL
mysql,sakila,inventory,inventory_id,1,mediumint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,inventory,film_id,2,smallint,NULL,"FOREIGN KEY",sakila,film,film_id
mysql,sakila,inventory,store_id,3,tinyint,NULL,"FOREIGN KEY",sakila,store,store_id
mysql,sakila,inventory,last_update,4,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sakila,language,language_id,1,tinyint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,language,name,2,char,20,NULL,NULL,NULL,NULL
mysql,sakila,language,last_update,3,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sakila,payment,payment_id,1,smallint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,payment,customer_id,2,smallint,NULL,"FOREIGN KEY",sakila,customer,customer_id
mysql,sakila,payment,staff_id,3,tinyint,NULL,"FOREIGN KEY",sakila,staff,staff_id
mysql,sakila,payment,rental_id,4,int,NULL,"FOREIGN KEY",sakila,rental,rental_id
mysql,sakila,payment,amount,5,decimal,NULL,NULL,NULL,NULL,NULL
mysql,sakila,payment,payment_date,6,datetime,NULL,NULL,NULL,NULL,NULL
mysql,sakila,payment,last_update,7,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sakila,rental,rental_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,rental,rental_date,2,datetime,NULL,UNIQUE,NULL,NULL,NULL
mysql,sakila,rental,inventory_id,3,mediumint,NULL,UNIQUE,NULL,NULL,NULL
mysql,sakila,rental,inventory_id,3,mediumint,NULL,"FOREIGN KEY",sakila,inventory,inventory_id
mysql,sakila,rental,customer_id,4,smallint,NULL,UNIQUE,NULL,NULL,NULL
mysql,sakila,rental,customer_id,4,smallint,NULL,"FOREIGN KEY",sakila,customer,customer_id
mysql,sakila,rental,return_date,5,datetime,NULL,NULL,NULL,NULL,NULL
mysql,sakila,rental,staff_id,6,tinyint,NULL,"FOREIGN KEY",sakila,staff,staff_id
mysql,sakila,rental,last_update,7,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sakila,staff,staff_id,1,tinyint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,staff,first_name,2,varchar,45,NULL,NULL,NULL,NULL
mysql,sakila,staff,last_name,3,varchar,45,NULL,NULL,NULL,NULL
mysql,sakila,staff,address_id,4,smallint,NULL,"FOREIGN KEY",sakila,address,address_id
mysql,sakila,staff,picture,5,blob,65535,NULL,NULL,NULL,NULL
mysql,sakila,staff,email,6,varchar,50,NULL,NULL,NULL,NULL
mysql,sakila,staff,store_id,7,tinyint,NULL,"FOREIGN KEY",sakila,store,store_id
mysql,sakila,staff,active,8,tinyint,NULL,NULL,NULL,NULL,NULL
mysql,sakila,staff,username,9,varchar,16,NULL,NULL,NULL,NULL
mysql,sakila,staff,password,10,varchar,40,NULL,NULL,NULL,NULL
mysql,sakila,staff,last_update,11,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sakila,store,store_id,1,tinyint,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,sakila,store,manager_staff_id,2,tinyint,NULL,UNIQUE,NULL,NULL,NULL
mysql,sakila,store,manager_staff_id,2,tinyint,NULL,"FOREIGN KEY",sakila,staff,staff_id
mysql,sakila,store,address_id,3,smallint,NULL,"FOREIGN KEY",sakila,address,address_id
mysql,sakila,store,last_update,4,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,world,city,ID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,world,city,Name,2,char,35,NULL,NULL,NULL,NULL
mysql,world,city,CountryCode,3,char,3,"FOREIGN KEY",world,country,Code
mysql,world,city,District,4,char,20,NULL,NULL,NULL,NULL
mysql,world,city,Population,5,int,NULL,NULL,NULL,NULL,NULL
mysql,world,country,Code,1,char,3,"PRIMARY KEY",NULL,NULL,NULL
mysql,world,country,Name,2,char,52,NULL,NULL,NULL,NULL
mysql,world,country,Continent,3,enum,13,NULL,NULL,NULL,NULL
mysql,world,country,Region,4,char,26,NULL,NULL,NULL,NULL
mysql,world,country,SurfaceArea,5,decimal,NULL,NULL,NULL,NULL,NULL
mysql,world,country,IndepYear,6,smallint,NULL,NULL,NULL,NULL,NULL
mysql,world,country,Population,7,int,NULL,NULL,NULL,NULL,NULL
mysql,world,country,LifeExpectancy,8,decimal,NULL,NULL,NULL,NULL,NULL
mysql,world,country,GNP,9,decimal,NULL,NULL,NULL,NULL,NULL
mysql,world,country,GNPOld,10,decimal,NULL,NULL,NULL,NULL,NULL
mysql,world,country,LocalName,11,char,45,NULL,NULL,NULL,NULL
mysql,world,country,GovernmentForm,12,char,45,NULL,NULL,NULL,NULL
mysql,world,country,HeadOfState,13,char,60,NULL,NULL,NULL,NULL
mysql,world,country,Capital,14,int,NULL,NULL,NULL,NULL,NULL
mysql,world,country,Code2,15,char,2,NULL,NULL,NULL,NULL
mysql,world,countrylanguage,CountryCode,1,char,3,"PRIMARY KEY",NULL,NULL,NULL
mysql,world,countrylanguage,CountryCode,1,char,3,"FOREIGN KEY",world,country,Code
mysql,world,countrylanguage,Language,2,char,30,"PRIMARY KEY",NULL,NULL,NULL
mysql,world,countrylanguage,IsOfficial,3,enum,1,NULL,NULL,NULL,NULL
mysql,world,countrylanguage,Percentage,4,decimal,NULL,NULL,NULL,NULL,NULL
mysql,prueba,users,user_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,prueba,users,user_handle,2,varchar,50,UNIQUE,NULL,NULL,NULL
mysql,prueba,users,created_at,3,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,dbferreteria,categoria,idCategoria,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,dbferreteria,categoria,idCategoria,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,dbferreteria,categoria,desc_Categoria,2,varchar,100,NULL,NULL,NULL,NULL
mysql,dbferreteria,categoria,tipo,3,varchar,20,NULL,NULL,NULL,NULL
mysql,dbferreteria,cliente,idCliente,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,dbferreteria,cliente,idCliente,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,dbferreteria,cliente,Datos_cliente_idDatos_cliente,2,int,NULL,"FOREIGN KEY",dbferreteria,datos_cliente,idDatos_cliente
mysql,dbferreteria,datos_cliente,idDatos_cliente,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,dbferreteria,datos_cliente,idDatos_cliente,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,dbferreteria,datos_cliente,Nom_cliente,2,varchar,45,NULL,NULL,NULL,NULL
mysql,dbferreteria,datos_cliente,Apellido_cliente,3,varchar,45,NULL,NULL,NULL,NULL
mysql,dbferreteria,datos_cliente,Apellido2_cliente,4,varchar,45,NULL,NULL,NULL,NULL
mysql,dbferreteria,datos_cliente,CI,5,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,dbferreteria,datos_cliente,Telf_cliente,6,varchar,45,NULL,NULL,NULL,NULL
mysql,dbferreteria,datos_cliente,Estado_cl,7,varchar,45,NULL,NULL,NULL,NULL
mysql,dbferreteria,datos_cliente,municipio,8,varchar,45,NULL,NULL,NULL,NULL
mysql,dbferreteria,datos_cliente,parroquia_cl,9,varchar,45,NULL,NULL,NULL,NULL
mysql,dbferreteria,empleados,idEmpleados,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,dbferreteria,empleados,idEmpleados,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,dbferreteria,empleados,Nom_empleado,2,varchar,45,NULL,NULL,NULL,NULL
mysql,dbferreteria,empleados,Apellido_empleado,3,varchar,45,NULL,NULL,NULL,NULL
mysql,dbferreteria,empleados,Apellido2_empleado,4,varchar,45,NULL,NULL,NULL,NULL
mysql,dbferreteria,empleados,Telefono,5,int,NULL,NULL,NULL,NULL,NULL
mysql,dbferreteria,empleados,Local_idLocal,6,int,NULL,"FOREIGN KEY",dbferreteria,local,idLocal
mysql,dbferreteria,empleados,Datos_cliente_idDatos_cliente,7,int,NULL,"FOREIGN KEY",dbferreteria,datos_cliente,idDatos_cliente
mysql,dbferreteria,local,idLocal,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,dbferreteria,local,Nombre,2,varchar,45,NULL,NULL,NULL,NULL
mysql,dbferreteria,local,Estado_lc,3,varchar,45,NULL,NULL,NULL,NULL
mysql,dbferreteria,local,municipio,4,varchar,45,NULL,NULL,NULL,NULL
mysql,dbferreteria,local,parroquia_Lc,5,varchar,45,NULL,NULL,NULL,NULL
mysql,dbferreteria,local,RIF,6,varchar,45,UNIQUE,NULL,NULL,NULL
mysql,dbferreteria,productos,id_Productos,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,dbferreteria,productos,id_Productos,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,dbferreteria,productos,nom_Producto,2,varchar,45,UNIQUE,NULL,NULL,NULL
mysql,dbferreteria,productos,Existencia,3,int,NULL,NULL,NULL,NULL,NULL
mysql,dbferreteria,productos,Desc_Producto,4,varchar,100,NULL,NULL,NULL,NULL
mysql,dbferreteria,productos,Valor_Producto,5,double,NULL,NULL,NULL,NULL,NULL
mysql,dbferreteria,productos,Marca,6,varchar,30,NULL,NULL,NULL,NULL
mysql,dbferreteria,productos,Categoria_idCategoria,7,int,NULL,"FOREIGN KEY",dbferreteria,categoria,idCategoria
mysql,dbferreteria,productos,Proveedor_Id_provedor,8,int,NULL,"FOREIGN KEY",dbferreteria,proveedor,Id_provedor
mysql,dbferreteria,productos,Users_idUsers,9,int,NULL,"FOREIGN KEY",dbferreteria,users,idUsers
mysql,dbferreteria,productos_ventas,Ventas_idVentas,1,int,NULL,"FOREIGN KEY",dbferreteria,ventas,idVentas
mysql,dbferreteria,productos_ventas,Productos_id_Productos,2,int,NULL,"FOREIGN KEY",dbferreteria,productos,id_Productos
mysql,dbferreteria,proveedor,Id_provedor,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,dbferreteria,proveedor,Nom_proveedor,2,varchar,45,UNIQUE,NULL,NULL,NULL
mysql,dbferreteria,proveedor,Telf_proveedor,3,int,NULL,NULL,NULL,NULL,NULL
mysql,dbferreteria,users,idUsers,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,dbferreteria,users,idUsers,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,dbferreteria,users,username,2,varchar,45,UNIQUE,NULL,NULL,NULL
mysql,dbferreteria,users,contrasena,3,varchar,200,UNIQUE,NULL,NULL,NULL
mysql,dbferreteria,users,Status,4,tinyint,NULL,NULL,NULL,NULL,NULL
mysql,dbferreteria,users,Rol,5,varchar,45,NULL,NULL,NULL,NULL
mysql,dbferreteria,ventas,idVentas,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,dbferreteria,ventas,Fecha_Venta,2,date,NULL,NULL,NULL,NULL,NULL
mysql,dbferreteria,ventas,Monto_venta,3,double,NULL,NULL,NULL,NULL,NULL
mysql,dbferreteria,ventas,Desc_Compra,4,varchar,100,NULL,NULL,NULL,NULL
mysql,dbferreteria,ventas,cantidad,5,int,NULL,NULL,NULL,NULL,NULL
mysql,dbferreteria,ventas,Empleados_idEmpleados,6,int,NULL,"FOREIGN KEY",dbferreteria,empleados,idEmpleados
